"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "JavaScript", "Prisma", "JSON", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/maythamajam/Workspace/guideway/src/lib/tokens.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 2, 15, 101
"/Users/maythamajam/Workspace/guideway/src/lib/types.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 17, 96
"/Users/maythamajam/Workspace/guideway/src/lib/utils.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 4, 11, 80
"/Users/maythamajam/Workspace/guideway/src/lib/validation.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 5, 14, 126
"/Users/maythamajam/Workspace/guideway/src/server/auth.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 45, 15, 133
"/Users/maythamajam/Workspace/guideway/src/server/db.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/maythamajam/Workspace/guideway/src/stores/group-store.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/maythamajam/Workspace/guideway/src/stores/post-store.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/maythamajam/Workspace/guideway/src/stores/user-store.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/maythamajam/Workspace/guideway/src/styles/globals.css", "CSS", 0, 564, 0, 0, 0, 0, 0, 0, 0, 35, 599
"/Users/maythamajam/Workspace/guideway/tailwind.config.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"/Users/maythamajam/Workspace/guideway/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 35, 0, 4, 4, 43
"Total", "-", 2315, 564, 8995, 109, 174, 12995, 35, 118, 242, 1404, 26951
